['[CLS]', 'presents', 'a', 'good', 'case', 'while', 'failing', 'to', 'provide', 'a', 'reason', 'for', 'us', 'to', 'care', 'beyond', 'the', 'very', 'basic', 'dictums', 'of', 'human', 'decency', '[SEP]']	[2.1578408393452264e-07, 1.8590736772239325e-07, 1.6802525237835653e-07, 1.5196965819086472e-07, 1.8023864356564445e-07, 1.9784111771059543e-07, 1.6958112780685042e-07, 1.6356354137769813e-07, 1.5523487206792197e-07, 1.6274728409371164e-07, 1.5272648568043223e-07, 1.5759391658320965e-07, 2.2327550652789796e-07, 1.679872667637028e-07, 1.6808358793696243e-07, 1.5958028143359115e-07, 2.0492879571065714e-07, 1.540554706025432e-07, 1.5293373678559874e-07, 4.703805842609654e-07, 1.8172937643612386e-07, 1.9890131852662307e-07, 3.6919726653650287e-07, 0.999995231628418]
['[CLS]', 'beautifully', 'crafted', 'engaging', 'filmmaking', 'that', 'should', 'attract', 'upscale', 'audiences', 'hungry', 'for', 'quality', 'and', 'a', 'nostalgic', 'twisty', 'yarn', 'that', 'will', 'keep', 'them', 'guessing', '[SEP]']	[1.14480691593144e-07, 7.678741553718282e-08, 7.294796944279369e-08, 7.548758418352008e-08, 9.411708390416607e-08, 9.052809701870501e-08, 8.725750433313806e-08, 7.809354940491176e-08, 7.999459938901055e-08, 7.357229492299666e-08, 7.068742036153708e-08, 7.521910561081313e-08, 6.991226797481431e-08, 8.14882241684245e-08, 7.724145945076089e-08, 2.150458442429226e-07, 1.5312520673660401e-07, 8.386848548980197e-08, 8.05210405019352e-08, 9.194756245278768e-08, 8.497873693613656e-08, 9.619640906066707e-08, 8.456851929850018e-08, 0.999998152256012]
['[CLS]', 'bread', 'my', 'sweet', 'has', 'so', 'many', 'flaws', 'it', 'would', 'be', 'easy', 'for', 'critics', 'to', 'shred', 'it', '[SEP]']	[4.53550492238719e-05, 4.197277667117305e-05, 4.060184073750861e-05, 3.970342004322447e-05, 4.110438749194145e-05, 3.486644709482789e-05, 3.522778206388466e-05, 3.6704779631691054e-05, 3.218121491954662e-05, 3.617578840930946e-05, 3.3044241718016565e-05, 3.373813888174482e-05, 3.728471710928716e-05, 4.3852764065377414e-05, 3.6078599805478007e-05, 7.175115752033889e-05, 4.111355883651413e-05, 0.9993192553520203]
['[CLS]', 'slow', 'silly', 'and', 'unintentionally', 'hilarious', '[SEP]']	[0.0031870179809629917, 0.0033588935621082783, 0.0028857304714620113, 0.003765289206057787, 0.014222308527678251, 0.003136844839900732, 0.9694439768791199]
['[CLS]', 'ultimately', 'feels', 'empty', 'and', 'unsatisfying', 'like', 'swallowing', 'a', 'communion', 'wafer', 'without', 'the', 'wine', '[SEP]']	[2.059509279206395e-05, 1.8398030078969896e-05, 2.0618852431653067e-05, 1.5913363313302398e-05, 1.7270747775910422e-05, 5.924607285123784e-05, 1.817782685975544e-05, 1.7805863535613753e-05, 1.601304938958492e-05, 1.6987605704343878e-05, 3.1526031307294033e-05, 1.8180548067903146e-05, 1.602693555469159e-05, 1.7893376934807748e-05, 0.9996957778930664]
['[CLS]', 'exudes', 'the', 'fizz', 'of', 'a', 'busby', 'berkeley', 'musical', 'and', 'the', 'visceral', 'excitement', 'of', 'a', 'sports', 'extravaganza', '[SEP]']	[3.6325621977084666e-07, 5.718445095226343e-07, 2.518444546240062e-07, 4.080579429910358e-07, 2.223814874469099e-07, 2.447120266424463e-07, 4.0760666308869986e-07, 2.442648394662683e-07, 2.1969447061565006e-07, 2.7309678785059077e-07, 2.7285520332043234e-07, 6.14317414715515e-07, 2.186758649713738e-07, 2.385243078606436e-07, 2.6528834951022873e-07, 2.3804891213785595e-07, 8.55532107379986e-07, 0.9999942779541016]
['[CLS]', 'the', 'film', 'rehashes', 'several', 'old', 'themes', 'and', 'is', 'capped', 'with', 'pointless', 'extremes', '[SEP]']	[0.00035207110340707004, 0.00031743309227749705, 0.00034394048270769417, 0.0008566014003008604, 0.0002860044769477099, 0.00030688868719153106, 0.0003003052552230656, 0.00030039320699870586, 0.00029944555717520416, 0.0002708639367483556, 0.00029441172955557704, 0.0003140935441479087, 0.0003195208846591413, 0.9954376220703125]
['[CLS]', 'ryan', 'gosling', 'is', 'in', 'a', 'word', 'brilliant', 'as', 'the', 'conflicted', 'daniel', '[SEP]']	[0.0006337380036711693, 0.0004946017288602889, 0.0009430871577933431, 0.0007492703152820468, 0.0005670820246450603, 0.0005515787051990628, 0.0005602290038950741, 0.00046772160567343235, 0.0007317567942664027, 0.0006034740945324302, 0.0010363799519836903, 0.0005591539666056633, 0.9921020269393921]
['[CLS]', 'if', 'deuces', 'wild', 'had', 'been', 'tweaked', 'up', 'a', 'notch', 'it', 'would', 'have', 'become', 'a', 'camp', 'adventure', 'one', 'of', 'those', 'movies', '[SEP]']	[9.68004428614222e-07, 7.143780180740578e-07, 1.9095524521617335e-06, 6.112701385063701e-07, 6.944846973055974e-07, 6.892838655403466e-07, 2.61537701362613e-06, 6.857891321487841e-07, 7.520895337620459e-07, 7.322004194065812e-07, 8.321894711116329e-07, 6.553207185788779e-07, 6.554707852046704e-07, 7.011562388470338e-07, 7.003669679761515e-07, 6.821312013016723e-07, 7.091472866704862e-07, 7.12191024376807e-07, 6.360551765283162e-07, 7.782697366565117e-07, 1.0725045740400674e-06, 0.9999818205833435]
['[CLS]', 'frida', 'is', 'certainly', 'no', 'disaster', 'but', 'neither', 'is', 'it', 'the', 'kahlo', 'movie', 'frida', 'fans', 'have', 'been', 'looking', 'for', '[SEP]']	[4.0598606574349105e-06, 5.406864374890574e-06, 2.8793222099920968e-06, 2.5840176931524184e-06, 2.643555717440904e-06, 3.0525463898811722e-06, 2.8975994155189255e-06, 2.6563232040643925e-06, 2.562759618740529e-06, 2.6624302336131223e-06, 2.9921948225819506e-06, 8.38456753626815e-06, 2.9980531053297454e-06, 5.645066494253115e-06, 2.8099741484766128e-06, 2.509143996576313e-06, 2.416444658592809e-06, 2.4863197722879704e-06, 2.9832822292519268e-06, 0.9999351501464844]
